smellId,name,projectName,codeElement,detectorName,details,commit,agglomeratedSmells,metrics.MethodEffectiveLinesOfCode,metrics.NumberOfFinallyStatements,metrics.NumberOfCatchStatements,metrics.ExceptionalLOC,metrics.NumberOfDummyExceptionHandlers,metrics.NumberOfTryStatements,metrics.NumberOfThrowStatements,metrics.NumberOfTryStatementsWithNoCatchAndFinally,metrics.ThrownExceptionTypesCount,metrics.cC,metrics.cDISP,metrics.cINT,metrics.cLOC,metrics.changingClasses,metrics.changingMethods,metrics.classLinesOfCode,metrics.couplingDispersion,metrics.couplingIntensity,metrics.cyclomaticComplexity,metrics.isAbstract,metrics.lCOM,metrics.lCOM2,metrics.lCOM3,metrics.lackOfCohesionOfMethods,metrics.mLOC,metrics.maxCallChain,metrics.maxNesting,metrics.methodLinesOfCode,metrics.nOAM,metrics.nOAV,metrics.numberOfAccessedVariables,metrics.numberOfAccessorMethods,metrics.overrideRatio,metrics.parameterCount,metrics.publicFieldCount,metrics.tCC,metrics.tightClassCohesion,metrics.wMC,metrics.wOC,metrics.weighOfClass,metrics.weightedMethodCount
activiti-762,LongMethod,activiti,org.activiti.examples.identity.IdentityTest.testFindGroupsByUserAndType,Organic,"MLOC > 30, startingLine: 39, EndingLine: 94",/home/opus/output-activiti/0b9636b3d7f0d2d8112bbbb8822d5ac08e15606d,"['LongMethod', 'FeatureEnvy', 'MessageChain']",43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38461539149284363,13,1,0,0,0,0,0,0,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
activiti-772,LongMethod,activiti,org.activiti.examples.processdefinitions.ProcessDefinitionsTest.testGetProcessDefinitions,Organic,"MLOC > 30, startingLine: 32, EndingLine: 83",/home/opus/output-activiti/0b9636b3d7f0d2d8112bbbb8822d5ac08e15606d,"['LongMethod', 'FeatureEnvy', 'MessageChain']",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4166666567325592,12,1,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
activiti-782,LongMethod,activiti,org.activiti.examples.variables.VariablesTest.testBasicVariableOperations,Organic,"MLOC > 30, startingLine: 31, EndingLine: 98",/home/opus/output-activiti/0b9636b3d7f0d2d8112bbbb8822d5ac08e15606d,"['LongMethod', 'FeatureEnvy']",59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,4,1,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
activiti-790,LongMethod,activiti,"org.activiti.el.juel.misc.BooleanOperations.lt0([TypeConverter, Object, Object])",Organic,"MLOC > 30, startingLine: 40, EndingLine: 66",/home/opus/output-activiti/0b9636b3d7f0d2d8112bbbb8822d5ac08e15606d,"['LongMethod', 'FeatureEnvy']",35,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0.2222222238779068,9,8,0,0,0,0,0,0,2,1,0,0,0,7,0,0,3,0,0,0,0,0,0,0
activiti-792,LongMethod,activiti,"org.activiti.el.juel.misc.BooleanOperations.gt0([TypeConverter, Object, Object])",Organic,"MLOC > 30, startingLine: 68, EndingLine: 94",/home/opus/output-activiti/0b9636b3d7f0d2d8112bbbb8822d5ac08e15606d,"['LongMethod', 'FeatureEnvy']",35,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0.2222222238779068,9,8,0,0,0,0,0,0,2,1,0,0,0,7,0,0,3,0,0,0,0,0,0,0
activiti-794,LongMethod,activiti,"org.activiti.el.juel.misc.BooleanOperations.eq([TypeConverter, Object, Object])",Organic,"MLOC > 30, startingLine: 136, EndingLine: 170",/home/opus/output-activiti/0b9636b3d7f0d2d8112bbbb8822d5ac08e15606d,"['LongMethod', 'FeatureEnvy']",44,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0.0714285746216774,14,11,0,0,0,0,0,0,2,1,0,0,0,7,0,0,3,0,0,0,0,0,0,0
activiti-852,LongMethod,activiti,org.activiti.el.juel.tree.impl.Builder.main([String[]]),Organic,"MLOC > 30, startingLine: 125, EndingLine: 167",/home/opus/output-activiti/0b9636b3d7f0d2d8112bbbb8822d5ac08e15606d,"['LongMethod', 'FeatureEnvy']",31,0,2,62,0,2,0,0,0,0,0,0,0,0,0,0,0.6666666865348816,6,5,0,0,0,0,0,0,3,2,0,0,0,8,0,0,1,0,0,0,0,0,0,0
activiti-943,LongMethod,activiti,org.activiti.el.juel.misc.BooleanOperationsTest.testLt,Organic,"MLOC > 30, startingLine: 40, EndingLine: 86",/home/opus/output-activiti/0b9636b3d7f0d2d8112bbbb8822d5ac08e15606d,"['LongMethod', 'FeatureEnvy']",46,0,3,138,3,3,0,0,0,0,0,0,0,0,0,0,1.0,1,4,0,0,0,0,0,0,2,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0
activiti-945,LongMethod,activiti,org.activiti.el.juel.misc.BooleanOperationsTest.testGt,Organic,"MLOC > 30, startingLine: 91, EndingLine: 137",/home/opus/output-activiti/0b9636b3d7f0d2d8112bbbb8822d5ac08e15606d,"['LongMethod', 'FeatureEnvy']",46,0,3,138,3,3,0,0,0,0,0,0,0,0,0,0,1.0,1,4,0,0,0,0,0,0,2,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0
activiti-947,LongMethod,activiti,org.activiti.el.juel.misc.BooleanOperationsTest.testGe,Organic,"MLOC > 30, startingLine: 142, EndingLine: 188",/home/opus/output-activiti/0b9636b3d7f0d2d8112bbbb8822d5ac08e15606d,"['LongMethod', 'FeatureEnvy']",46,0,3,138,3,3,0,0,0,0,0,0,0,0,0,0,1.0,1,4,0,0,0,0,0,0,2,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0
